City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
San Cristobal,7.7669,-72.225,75.2,94,75,13.8,VE,1615934427
La Ronge,55.1001,-105.2842,41,28,0,9.22,CA,1615934147
Kavieng,-2.5744,150.7967,82.15,73,95,9.57,PG,1615934147
Khāsh,28.2211,61.2158,52.74,33,37,3.29,IR,1615934148
Gravelbourg,49.8834,-106.5512,33.01,50,100,8.52,CA,1615934149
Gwadar,25.1216,62.3254,71.91,73,18,7.07,PK,1615934149
Kroonstad,-27.6504,27.2349,63,84,35,8.88,ZA,1615934102
Talcahuano,-36.7167,-73.1167,62.6,72,75,9.22,CL,1615934050
Lompoc,34.6391,-120.4579,57.2,58,1,18.41,US,1615934151
Pemangkat,1.1667,108.9667,76.91,89,88,3.94,ID,1615934151
Planadas,3.197,-75.6451,69.85,92,99,0.85,CO,1615934152
Upernavik,72.7868,-56.1549,-1.39,95,99,4.07,GL,1615934153
Longyearbyen,78.2186,15.6401,-4,65,20,16.11,SJ,1615934153
Allāpalli,19.4167,80.0667,72.39,38,0,4.65,IN,1615934154
Barrow,71.2906,-156.7887,1.4,71,90,20.71,US,1615934105
Watsa,3.0372,29.5355,65.23,89,100,3.29,CD,1615934155
Praia da Vitória,38.7333,-27.0667,60.01,94,75,17.52,PT,1615934156
Assiniboia,49.6334,-105.9845,37.4,30,99,13.8,CA,1615934157
Tabas,33.5959,56.9244,61.93,27,48,3.74,IR,1615934157
Bad Soden-Salmünster,50.2757,9.3671,39.99,80,78,2.28,DE,1615934158
Torbay,47.6666,-52.7314,28,86,90,25.32,CA,1615934128
Asău,46.4333,26.4,37.99,67,100,10.22,RO,1615934159
Nālūt,30.3333,10.85,57.92,34,60,14.63,LY,1615934159
Lovozero,68.005,35.0117,14.43,93,100,8.68,RU,1615934160
Tuktoyaktuk,69.4541,-133.0374,-14.8,76,20,2.3,CA,1615934161
Nuevo Progreso,23.1667,-97.95,86,67,24,5.99,MX,1615934161
Lavrentiya,65.5833,-171,4.28,92,100,5.08,RU,1615934162
Berlevåg,70.8578,29.0864,19.4,73,90,29.93,NO,1615934163
Chokurdakh,70.6333,147.9167,-21.98,84,0,8.52,RU,1615934163
Hilo,19.7297,-155.09,78.8,69,75,9.22,US,1615934164
Airai,-8.9266,125.4092,64.15,81,47,1.23,TL,1615934165
Atuona,-9.8,-139.0333,80.46,66,13,10.33,PF,1615934035
Bengkulu,-3.8004,102.2655,74.3,84,82,4.29,ID,1615934166
Puerto Cabezas,14.0351,-83.3888,84.2,84,75,6.91,NI,1615934167
Nikolskoye,59.7035,30.7861,30.99,93,0,2.62,RU,1615934167
Port Elizabeth,-33.918,25.5701,64.4,88,75,1.14,ZA,1615934169
Aklavik,68.2191,-135.0107,-4,65,67,2.3,CA,1615934170
Peniche,39.3558,-9.3811,57.99,76,5,7.52,PT,1615934374
New Norfolk,-42.7826,147.0587,55.99,84,67,1.99,AU,1615934202
Cabedelo,-6.9811,-34.8339,78.8,78,20,6.91,BR,1615934203
Evensk,61.95,159.2333,10,71,0,12.08,RU,1615934445
Red Bluff,40.1785,-122.2358,57.99,47,1,8.05,US,1615934183
Okhotsk,59.3833,143.3,-0.87,61,76,22.59,RU,1615933931
Robinsonville,31.4677,-97.1147,80.6,54,75,16.11,US,1615934205
Tiznit Province,29.5833,-9.5,64.24,51,9,1.21,MA,1615934205
Avarua,-21.2078,-159.775,82.4,78,75,12.66,CK,1615934206
Zambezi,-13.5432,23.1047,66.31,95,100,4.09,ZM,1615934207
Puerto Ayora,-0.7393,-90.3518,82.4,78,20,9.22,EC,1615934485
Cockburn Town,21.4612,-71.1419,75.78,75,0,17,TC,1615934486
Bathsheba,13.2167,-59.5167,78.8,65,20,16.11,BB,1615934487
Qasigiannguit,68.8193,-51.1922,10.4,72,75,8.05,GL,1615934210
Sterling,39.0062,-77.4286,43,75,90,10.36,US,1615934172
Kruisfontein,-34.0033,24.7314,60.01,89,61,3.69,ZA,1615934211
Adrar,20.5022,-10.0711,72.82,14,0,9.37,MR,1615934212
Qaqortoq,60.7167,-46.0333,33.8,75,75,4.61,GL,1615934213
Constitución,-35.3333,-72.4167,58.64,79,27,12.73,CL,1615934213
Rancho Palos Verdes,33.7445,-118.387,57.99,47,1,10.36,US,1615934214
Port Alfred,-33.5906,26.891,66,90,93,8.46,ZA,1615934215
Margate,51.3813,1.3862,46,68,48,7,GB,1615934215
Sorong,-0.8833,131.25,80.67,78,88,0.98,ID,1615934216
Umluj,25.0213,37.2685,74.37,77,16,3.4,SA,1615934217
Cidreira,-30.1811,-50.2056,76.98,86,89,19.33,BR,1615934217
Boden,65.8252,21.6886,15.8,86,97,3.44,SE,1615934218
Dzerzhinskoye,56.8344,95.2283,5.58,92,14,5.32,RU,1615934219
Agüimes,27.9054,-15.4461,64.4,68,20,20.71,ES,1615934102
Vranje,42.5514,21.9003,37,77,100,4,RS,1615934220
Yeppoon,-23.1333,150.7333,69.8,88,90,12.66,AU,1615934220
San Pedro de Urabá,8.2752,-76.3764,78.82,84,100,6.22,CO,1615934221
Samarai,-10.6167,150.6667,81.88,77,100,6.29,PG,1615934222
Saint-Augustin,51.226,-58.6502,11.53,86,98,8.37,CA,1615934222
Nantucket,41.2835,-70.0995,32,51,1,10.36,US,1615934027
Codrington,-38.2667,141.9667,66.56,67,0,8.37,AU,1615934224
Guerrero Negro,27.9769,-114.0611,59.59,55,0,23.42,MX,1615934225
Lander,42.833,-108.7307,36,86,90,4.61,US,1615934226
Tukuyu,-9.25,33.65,59.74,91,92,4.07,TZ,1615934226
Kyra,49.5776,111.9753,8.13,88,0,4.65,RU,1615934227
Chauk,20.8833,94.8167,69.98,41,0,2.66,MM,1615934227
Charters Towers,-20.1,146.2667,77.07,76,42,8.03,AU,1615934228
Marawi,7.9986,124.2928,73.99,89,8,4,PH,1615934229
Lixouri,38.2019,20.4314,52.27,68,0,22.26,GR,1615934230
Mount Isa,-20.7333,139.5,77,57,61,9.22,AU,1615934262
Palauig,15.435,119.9045,80.28,78,65,3.06,PH,1615934262
Maniitsoq,65.4167,-52.9,10.06,87,76,10.65,GL,1615934263
Faanui,-16.4833,-151.75,82.6,72,19,10.69,PF,1615934264
Port-Gentil,-0.7193,8.7815,78.8,94,20,4.61,GA,1615934265
Pevek,69.7008,170.3133,-6.54,94,100,12.57,RU,1615934266
Porto Belo,-27.1578,-48.5531,78.8,83,40,11.5,BR,1615934266
Cabo San Lucas,22.8909,-109.9124,80.6,34,1,8.05,MX,1615934232
Dikson,73.5069,80.5464,-28.35,99,61,3.94,RU,1615934267
Cocorit,27.5833,-109.9667,75.2,25,1,11.5,MX,1615934268
Westport,41.1415,-73.3579,33.01,43,90,4.61,US,1615934184
Naze,28.3667,129.4833,66.2,88,20,4.61,JP,1615934269
Moen,69.1304,18.6123,24.8,93,90,2.3,NO,1615934270
Bethel,41.3712,-73.414,33.01,47,100,4.29,US,1615934271
Qaanaaq,77.484,-69.3632,1.98,74,98,2.64,GL,1615934271
Kavaratti,10.5669,72.642,82.51,70,6,8.14,IN,1615934272
Hirara,24.8,125.2833,69.8,100,40,4.61,JP,1615934272
Kroya,-7.6331,109.2461,75.9,85,42,3.31,ID,1615934273
Upata,8.0086,-62.3989,81,74,16,5.99,VE,1615934274
Libreville,0.3925,9.4537,80.6,78,20,9.22,GA,1615934234
Karratha,-20.7377,116.8463,82.69,57,62,5.3,AU,1615934275
Phagwāra,31.2178,75.7694,63.9,38,8,2.46,IN,1615934276
Yellowknife,62.456,-114.3525,14,52,20,8.05,CA,1615934101
Harindānga,22.0383,88.3214,77,69,20,5.99,IN,1615934277
Tual,-5.6667,132.75,82.87,69,15,2.64,ID,1615934277
Uruguaiana,-29.7547,-57.0883,68,100,90,11.5,BR,1615934278
Brae,60.3964,-1.353,46.4,81,40,19.57,GB,1615934279
Hong Kong,22.2855,114.1577,73,89,5,6.96,HK,1615934204
Dalby,-27.1833,151.2667,66.99,89,100,3,AU,1615934280
Progreso,21.2833,-89.6667,95,29,40,10.36,MX,1615934280
Luena,-11.7833,19.9167,62.71,96,100,4.36,AO,1615934281
Butaritari,3.0707,172.7902,81.05,77,63,13.24,KI,1615934282
Sola,-13.8833,167.55,80.6,94,75,13.2,VU,1615934282
Tougan,13.0667,-3.0667,82.81,16,4,9.04,BF,1615934283
Coquimbo,-29.9533,-71.3436,66.2,68,0,12.66,CL,1615933988
Katsuura,35.1333,140.3,54,54,20,12.66,JP,1615934284
Semey,50.4111,80.2275,-1.41,83,71,3.94,KZ,1615934286
Litein,-0.5823,35.1903,54.75,92,49,2.33,KE,1615934286
Darhan,49.4867,105.9228,17.04,83,100,3.94,MN,1615934287
Ahipara,-35.1667,173.1667,66.72,62,11,9.84,NZ,1615934287
Grindavik,63.8424,-22.4338,42.8,100,90,18.41,IS,1615934288
Makiwalo,12.5101,124.706,76.55,92,41,3.65,PH,1615934289
Tiksi,71.6872,128.8694,-14.94,99,100,4.25,RU,1615934289
Foz do Iguaçu,-25.5478,-54.5881,89.6,48,20,5.75,BR,1615934290
Tasiilaq,65.6145,-37.6368,24.8,86,90,27.63,GL,1615934291
Broken Hill,-31.95,141.4333,62.6,55,39,8.05,AU,1615934291
Souillac,-20.5167,57.5167,78.8,78,75,8.05,MU,1615934558
Bonavista,48.6499,-53.1147,27,86,100,10.36,CA,1615934559
Inuvik,68.3499,-133.7218,-4,65,60,2.3,CA,1615934560
Saint-Paul,-21.0096,55.2707,77,73,67,13.8,RE,1615934324
Ginda,30.6945,78.4932,52.59,32,99,5.88,IN,1615934325
Madang,-5.2246,145.7966,76.69,87,100,6.62,PG,1615934325
Fortuna,40.5982,-124.1573,53.01,53,1,13.8,US,1615934326
Grand Gaube,-20.0064,57.6608,77,82,99,3,MU,1615934327
Roald,62.5833,6.1333,35.6,80,75,12.66,NO,1615934327
Mossamedes,-15.1961,12.1522,76.05,80,99,4.27,AO,1615934328
Isangel,-19.55,169.2667,84.2,74,20,11.5,VU,1615934329
Lebyazh'ye,55.2689,66.4947,15.91,86,83,11.5,RU,1615934329
Olafsvik,64.8945,-23.7142,42.12,96,100,15.26,IS,1615934330
Ajdabiya,30.7554,20.2263,58.62,67,0,12.86,LY,1615934331
Kahului,20.8947,-156.47,77,73,40,17.27,US,1615934073
Verāval,20.9,70.3667,76.1,53,0,11.34,IN,1615934332
Velasco Ibarra,-1.05,-79.6167,77.45,88,79,5.61,EC,1615934332
Mafinga,-7.25,35.0667,65.08,91,16,1.32,TZ,1615934333
Provideniya,64.3833,-173.3,6.8,78,90,11.18,RU,1615934334
Saint Paul Harbor,57.79,-152.4072,32,51,1,9.22,US,1615934334
Jackson,42.4165,-122.8345,52,37,1,1.81,US,1615934335
Kaitangata,-46.2817,169.8464,55.99,64,98,17,NZ,1615934605
Harper,4.375,-7.7169,79.75,86,48,10.92,LR,1615934337
Puerto Madero,14.7208,-92.4215,86,62,75,11.5,MX,1615934338
Buala,-8.145,159.5921,84.81,64,43,4.07,SB,1615934607
Morón,-34.6534,-58.6198,71.01,94,90,8.05,AR,1615934339
Muscle Shoals,34.7448,-87.6675,80.6,39,1,5.75,US,1615934340
Olovyannaya,50.95,115.5667,10.08,90,89,4.05,RU,1615934340
Caravelas,-17.7125,-39.2481,77.92,81,39,8.63,BR,1615934341
Hithadhoo,-0.6,73.0833,81.99,70,73,5.64,MV,1615934342
Puerto del Rosario,28.5004,-13.8627,64.4,82,20,14.97,ES,1615934342
Kinel',53.2333,50.65,14,73,0,2.24,RU,1615934343
Yangi Marg`ilon,40.4272,71.7189,35.6,80,100,2.53,UZ,1615934343
Gafanha da Encarnação,40.6181,-8.733,62.01,61,0,8.66,PT,1615934344
Klaksvík,62.2266,-6.589,44.6,93,75,21.85,FO,1615934345
eMkhomazi,-30.2067,30.7978,66.99,95,95,5.32,ZA,1615934178
Hambantota,6.1241,81.1185,76.17,84,79,11.5,LK,1615934347
Dingle,10.9995,122.6711,78.22,86,56,3.04,PH,1615934347
Kenora,49.8167,-94.4337,41,38,75,5.75,CA,1615934348
Nosy Varika,-20.5833,48.5333,74.86,88,100,5.75,MG,1615934348
Guadix,37.2993,-3.1392,48,29,64,11.01,ES,1615934349
Pangody,65.85,74.4859,22.59,95,100,11.97,RU,1615934350
Ponta do Sol,32.6667,-17.1,62.6,55,20,14.97,PT,1615934350
Três Lagoas,-20.7511,-51.6783,78.64,67,83,3.33,BR,1615934304
Boone,39.0334,-92.3335,51.8,93,90,8.05,US,1615934618
Urengoy,65.9667,78.3667,9.46,94,100,15.1,RU,1615934618
Baijiantan,45.6333,85.1833,27.5,94,99,7.31,CN,1615934619
Pervomayskoye,43.919,46.7102,43.65,84,99,15.66,RU,1615934619
Cootamundra,-34.65,148.0333,64,59,75,10,AU,1615934620
Khatanga,71.9667,102.5,-43.4,97,52,10.78,RU,1615934621
Port Blair,11.6667,92.75,77.13,69,81,6.33,IN,1615934599
George Town,5.4112,100.3354,81,83,20,2.3,MY,1615934622
Qui Nhon,13.7667,109.2333,68.95,90,1,5.06,VN,1615934411
Kieta,-6.2167,155.6333,84.45,65,0,1.68,PG,1615934623
Katangli,51.7102,143.2326,17.76,91,100,22.35,RU,1615934624
Liuzhou,24.3126,109.3892,70.41,81,37,6.04,CN,1615934624
Mehrān,33.1222,46.1646,59,44,99,4.61,IR,1615934625
Orissaare,58.5592,23.0826,34,90,2,5.28,EE,1615934625
Alice Springs,-23.7,133.8833,60.8,67,89,4.61,AU,1615934626
Geraldton,-28.7667,114.6,69.8,88,59,2.3,AU,1615934627
Bowen,-20.0167,148.2333,77,88,63,5.75,AU,1615934627
Buchanan,5.8808,-10.0467,79.03,88,64,7.4,LR,1615934628
Sambava,-14.2667,50.1667,76.28,88,100,6.44,MG,1615934628
Shimoda,34.6667,138.95,53.01,64,0,1.99,JP,1615934629
Flinders,-34.5833,150.8552,66.99,81,99,3,AU,1615934630
Padang,-0.9492,100.3543,75.49,93,100,2.71,ID,1615934631
Manguito,22.5881,-80.9144,82.35,50,0,5.97,CU,1615934631
Svetlaya,46.5389,138.3297,31.21,86,100,2.66,RU,1615934632
Teahupoo,-17.8333,-149.2667,89.6,58,40,5.75,PF,1615934633
Viedma,-40.8135,-62.9967,57.96,66,100,27.29,AR,1615934634
Sur,22.5667,59.5289,78.55,41,12,6.38,OM,1615934634
Tarko-Sale,64.9225,77.785,21.22,95,100,12.59,RU,1615934665
Kuril'sk,45.2333,147.8833,30.88,93,67,10.76,RU,1615934666
Yulara,-25.2406,130.9889,60.8,36,96,9.22,AU,1615934652
Oudtshoorn,-33.5907,22.2014,62.6,88,90,2.3,ZA,1615934667
Gladstone,-23.85,151.25,69.8,88,90,8.05,AU,1615934462
Bousso,10.4795,16.7117,85.3,20,68,7.87,TD,1615934668
Ukiah,39.1502,-123.2078,61,41,1,4.61,US,1615934668
Quatre Cocos,-20.2078,57.7625,78.8,78,75,8.05,MU,1615934669
Knyaze-Volkonskoye,48.4642,135.4567,23,68,0,6.71,RU,1615934670
Faya,18.3851,42.4509,64.4,51,0,1.9,SA,1615934670
Iquitos,-3.7481,-73.2472,82.4,74,40,4.61,PE,1615934671
Bredasdorp,-34.5322,20.0403,60.8,94,13,5.86,ZA,1615934672
Guilin,25.2819,110.2864,64.4,100,90,1.54,CN,1615934653
Saldanha,-33.0117,17.9442,62.6,72,0,4.61,ZA,1615934673
Talnakh,69.4865,88.3972,-26.61,88,86,5.55,RU,1615934673
Saint George,37.1041,-113.5841,46.99,65,90,8.05,US,1615934453
Narsaq,60.9167,-46.05,33.8,75,75,4.61,GL,1615934666
Atmakūr,15.8833,78.5833,72.66,48,0,2.71,IN,1615934675
Kudahuvadhoo,2.6708,72.8944,82.31,76,13,11.25,MV,1615934676
Las Palmas,28.4204,-14.0131,64.4,82,20,14.97,ES,1615934583
San Quintín,30.4833,-115.95,57.69,58,0,19.84,MX,1615934677
Yuli,9.6989,10.2744,83.48,36,37,3,NG,1615934678
Tomatlán,19.9333,-105.25,81.82,37,0,9.8,MX,1615934679
Kholtoson,50.2981,103.3097,13.33,97,100,2.24,RU,1615934680
Bay Roberts,47.5999,-53.2648,27,80,100,7,CA,1615934680
Novikovo,51.1537,37.8879,31.71,81,99,11.23,RU,1615934681
Camacha,33.0833,-16.3333,60.8,82,40,10.36,PT,1615934682
Sohag,26.557,31.6948,68,45,0,10.36,EG,1615934682
Necochea,-38.5473,-58.7368,64.99,97,100,1.99,AR,1615934504
East London,-33.0153,27.9116,70.14,74,83,5.66,ZA,1615934683
Kamenka,51.3223,42.7678,32,77,100,8.01,RU,1615934684
Adré,13.4667,22.2,74.08,14,49,7.47,TD,1615934684
Aljezur,37.3191,-8.8033,56.57,72,0,7.87,PT,1615934685
La Libertad,-2.2333,-80.9,82.4,78,0,8.05,EC,1615934535
Sitka,57.0531,-135.33,39.2,65,75,5.75,US,1615934477
Acapulco de Juárez,16.8634,-99.8901,84.2,65,20,6.91,MX,1615934686
Kerman,30.2832,57.0788,50,34,0,6.91,IR,1615934687
City of San Pedro,14.35,121.0167,81,83,20,1.14,PH,1615934688
Orikum,40.3253,19.4714,49.98,58,0,4.5,AL,1615934688
Banda Aceh,5.5577,95.3222,78.17,82,69,5.08,ID,1615934689
Drumheller,51.4617,-112.7101,48.2,34,0,3.44,CA,1615934534
Mahébourg,-20.4081,57.7,78.8,78,75,8.05,MU,1615934596
Makaha,21.4694,-158.2175,80.6,94,90,10.36,US,1615934690
Rawson,-43.3002,-65.1023,54.54,65,77,25.46,AR,1615934439
Port Pirie,-33.1833,138.0167,64.4,88,0,4.61,AU,1615934691
Valentín Gómez Farías,28.2167,-106.5833,79,10,0,20,MX,1615934692
Sumbe,-11.2061,13.8437,78.42,82,100,2.48,AO,1615934694
Saint Anthony,45.0205,-93.218,37,69,90,4.61,US,1615934694
Pangnirtung,66.1451,-65.7125,-20.2,69,1,3.13,CA,1615934640
Ketchikan,55.3422,-131.6461,37.4,100,90,13.8,US,1615934695
Alyangula,-13.8483,136.4192,84.04,70,89,2.57,AU,1615934725
Birao,10.2849,22.7882,79.54,52,88,7.87,CF,1615934726
Kalmunai,7.4167,81.8167,78.12,80,49,5.06,LK,1615934726
Nuuk,64.1835,-51.7216,15.8,73,75,12.66,GL,1615934656
Belmonte,-15.8631,-38.8828,78.8,78,40,12.66,BR,1615934728
Aripuanã,-9.1667,-60.6333,78.08,87,72,2.21,BR,1615934728
Chaozhou,23.6651,116.6379,64.4,94,0,2.55,CN,1615934730
Shingū,33.7333,135.9833,59.76,79,51,1.23,JP,1615934730
Puerto Madryn,-42.7692,-65.0385,55.89,62,95,25.41,AR,1615934455
Dawei,14.0833,98.2,75.43,78,60,2.64,MM,1615934732
Itacoatiara,-3.1431,-58.4442,78.64,86,87,1.83,BR,1615934732
Carnarvon,-24.8667,113.6333,78.8,83,32,12.66,AU,1615934733
Kasempa,-13.4584,25.8338,62.47,98,99,4.5,ZM,1615934734
Kenai,60.5544,-151.2583,26.6,46,1,4.61,US,1615934734
Puerto Escondido,15.85,-97.0667,86,70,20,8.05,MX,1615934736
Talaya,61.3833,152.75,-3.57,70,27,3.27,RU,1615934736
Havre-St-Pierre,50.2334,-63.5986,15.8,35,1,13.8,CA,1615934737
San Patricio,28.017,-97.5169,75.2,83,90,20.71,US,1615934737
Port Hawkesbury,45.6169,-61.3485,16,85,90,13.8,CA,1615934738
Barra do Garças,-15.89,-52.2567,74.98,89,75,2.04,BR,1615934739
Kuloy,61.0305,42.4925,28.65,96,98,4.56,RU,1615934739
Mezen',65.8522,44.24,12.78,93,97,4.99,RU,1615934740
Lorengau,-2.0226,147.2712,84.43,69,97,5.86,PG,1615934741
Marsaxlokk,35.8419,14.5431,54,76,20,11.5,MT,1615934741
Nabire,-3.3667,135.4833,78.82,80,70,2.46,ID,1615934742
Krasnoborsk,61.5598,45.934,26.89,95,74,6.82,RU,1615934743
Capão da Canoa,-29.7456,-50.0097,76.86,88,98,17.36,BR,1615934538
Timrå,62.487,17.3257,30.2,74,75,6.91,SE,1615934744
Vila Velha,-20.3297,-40.2925,79,78,0,13.8,BR,1615934745
Tynda,55.1667,124.7167,-1.35,90,82,2.26,RU,1615934745
Taoudenni,22.6783,-3.9836,73.98,17,0,15.26,ML,1615934592
Krutinka,56.0055,71.5113,13.17,95,98,10.74,RU,1615934746
Matara,5.9485,80.5353,75.07,89,92,4.52,LK,1615934686
Gawler,-34.6,138.7333,68,68,0,2.3,AU,1615934680
Romitan,39.9343,64.3814,33.8,80,0,13.8,UZ,1615934748
Olivet,47.8622,1.8991,50,93,90,13.8,FR,1615934748
Thinadhoo,0.5333,72.9333,80.8,73,95,5.35,MV,1615934749
Tazovsky,67.4667,78.7,-11.13,97,100,17.25,RU,1615934750
Yangambi,0.8102,24.4336,70.65,91,97,2.48,CD,1615934750
Trincomalee,8.5711,81.2335,80.49,73,19,8.81,LK,1615934751
Mezhdurechensk,53.6942,88.0603,2.5,94,81,2.82,RU,1615934752
Santa Rita,-7.1139,-34.9781,78.8,78,20,6.91,BR,1615934752
Pitimbu,-7.4706,-34.8086,78.8,78,20,6.91,BR,1615934753
Zheleznodorozhnyy,55.7503,38.0042,34,86,75,6.71,RU,1615934753
Vao,-22.6667,167.4833,77.05,81,43,14.47,NC,1615934754
Great Yarmouth,52.6083,1.7305,46.4,76,79,21.85,GB,1615934755
Byron Bay,-28.65,153.6167,68,88,90,12.66,AU,1615934756
Coyhaique,-45.5752,-72.0662,62.6,31,20,3.44,CL,1615934725
Nakamura,32.9833,132.9333,60.12,85,25,3.31,JP,1615934757
Robertson,36.5167,-86.8667,71.01,43,1,4.61,US,1615934758
Urubamba,-13.3047,-72.1158,59,55,75,6.91,PE,1615934785
Bandi̇̄pur,27.9333,84.4167,52.41,31,0,3.29,NP,1615934786
Chegdomyn,51.1167,133.0167,21.81,87,100,1.68,RU,1615934786
Bemidji,47.4736,-94.8803,39,69,90,6.91,US,1615934787
Beeskow,52.1667,14.25,37.99,81,24,4.36,DE,1615934788
Sibolga,1.7427,98.7792,76.01,89,96,2.35,ID,1615934693
Severo-Kuril'sk,50.6789,156.125,34.92,98,100,9.84,RU,1615934603
Husavik,66.0449,-17.3389,35.6,80,75,3.44,IS,1615934789
North Myrtle Beach,33.816,-78.68,52,76,90,3.44,US,1615934625
Ucluelet,48.9329,-125.5528,48,71,75,9.22,CA,1615934622
Tay Ninh,11.3,106.1,72.63,86,14,4.61,VN,1615934791
Kumul,42.8,93.45,36.37,50,17,2.33,CN,1615934791
Ilulissat,69.2167,-51.1,10.4,72,75,8.05,GL,1615934630
Santa Elena,-2.2333,-80.85,82.4,78,0,8.05,EC,1615934793
Auki,-8.7676,160.7034,84.54,65,3,3.51,SB,1615934794
Muros,42.7762,-9.0603,55,66,28,7,ES,1615934794
Owando,-0.4819,15.8999,69.26,97,100,0.87,CG,1615934795
Cham,47.1821,8.4636,36,93,100,3.06,CH,1615934795
Kismayo,-0.3582,42.5454,78.37,83,0,12.91,SO,1615934796
Sinnamary,5.3833,-52.95,76.89,82,80,11.95,GF,1615934614
Tsimmerbude,54.675,20.1347,33.8,100,90,8.95,RU,1615934797
The Valley,18.217,-63.0578,78.8,65,40,10.36,AI,1615934673
Meadow Lake,34.8014,-106.5436,46.4,31,90,26.46,US,1615934799
Ilebo,-4.3167,20.5833,69.98,99,100,2.62,CD,1615934799
Lebu,-37.6167,-73.65,56.68,87,85,12.64,CL,1615934787
Leningradskiy,69.3833,178.4167,-0.4,94,100,16.33,RU,1615934800
Mogadishu,2.0371,45.3438,79.77,83,77,15.68,SO,1615934801
Leh,34.1667,77.5833,20.88,66,57,4.59,IN,1615934802
Derzhavīnsk,51.1,66.3167,4.44,83,85,11.63,KZ,1615934802
Lagoa,39.05,-27.9833,59.95,89,96,27.2,PT,1615934790
Vredendal,-31.6683,18.5012,65.98,68,0,1.12,ZA,1615934803
